v8-version,6,2,414,54,0
code-creation,Builtin,5,2285,0x3485bc361600,1643,"ArrayReduce"
code-creation,Builtin,5,2286,0x3485bc361ce0,2872,"ArrayReduceLoopContinuation"
code-creation,Builtin,5,2287,0x3485bc362880,1788,"ArrayReduceRight"
code-creation,Builtin,5,2287,0x3485bc362fe0,2864,"ArrayReduceRightLoopContinuation"
code-creation,Builtin,5,2288,0x3485bc363b80,3016,"ArrayIteratorPrototypeNext"
code-creation,Builtin,5,2288,0x3485bc3647c0,47,"NumberConstructor"
code-creation,Builtin,5,2289,0x3485bc364860,241,"ToNumber"
code-creation,Builtin,5,2289,0x3485bc3649c0,194,"NumberConstructor_ConstructStub"
code-creation,Builtin,5,2290,0x3485bc364b00,15,"NumberPrototypeToExponential"
code-creation,Builtin,5,2291,0x3485bc364b80,15,"NumberPrototypeToFixed"
code-creation,Builtin,5,2291,0x3485bc364c00,15,"NumberPrototypeToPrecision"
code-creation,Builtin,5,2292,0x3485bc364c80,15,"NumberPrototypeToString"
code-creation,Builtin,5,2292,0x3485bc364d00,127,"NumberPrototypeValueOf"
code-creation,Builtin,5,2293,0x3485bc364de0,72,"NumberIsFinite"
code-creation,Builtin,5,2294,0x3485bc364ea0,320,"NumberIsInteger"
